GeneID	mG11-3-1	mG11-3-2	mG11-3-3	mG12-4-1	mG12-4-2	mG12-4-3	mG6-15-1	mG6-15-2	mG6-15-3	mG7-23-1	mG7-23-2	mG7-23-3	mG9-10-1	mG9-10-2	mG9-10-3	mG9-29-1	mG9-29-2	mG9-29-3
O53_1371_dfa1	64	71	78	79	40	34	37	31	21	70	70	73	83	72	76	88	72	33
O53_1478	2	0	1	0	0	1	0	0	0	1	0	0	9	1	2	3	1	0
O53_1896	27	22	21	16	18	17	18	18	13	20	20	23	29	22	23	27	22	15
O53_2164_cofG	30	30	33	32	27	22	26	23	16	32	34	42	43	36	43	37	31	24
O53_1949	1	1	2	2	0	1	0	0	0	2	0	2	2	2	2	1	2	0
O53_1212	62	69	69	70	39	28	30	26	33	58	65	60	78	68	70	73	72	28
O53_4017	7	6	7	6	6	6	6	6	0	6	6	6	5	6	5	4	5	6
O53_1116	18	19	20	31	6	5	6	2	1	27	19	32	33	26	29	30	27	6
O53_3050	18	14	12	13	9	8	6	3	1	11	8	9	16	16	14	20	12	6
O53_517	14	16	16	20	6	5	6	5	6	18	15	13	19	18	17	19	15	6
O53_1600	15	23	19	19	17	14	19	17	7	40	18	20	20	45	21	20	16	20
O53_2516	5	0	4	3	5	1	5	2	0	4	4	5	5	7	4	7	3	2
O53_4678	3	3	4	11	1	1	1	1	0	4	3	3	4	3	4	4	5	1
O53_4050	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0
O53_3666	24	24	24	29	15	14	13	12	7	25	20	34	37	30	31	28	26	13
O53_3392	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
O53_5366_gcvT	32	35	37	35	29	25	26	21	22	33	33	31	40	35	36	34	36	23
O53_696	3	3	3	0	0	0	0	0	0	2	2	2	4	2	2	10	2	0
O53_1232	5	5	6	7	1	0	2	0	0	6	8	7	8	7	7	10	7	0
O53_4180	31	33	29	28	18	25	21	20	23	35	29	29	42	34	35	36	30	18
O53_2179	4	3	3	2	3	3	2	3	4	3	5	4	5	4	4	3	3	4
O53_2555_ymxG	40	52	44	38	24	14	21	14	9	40	38	51	64	50	54	62	44	14
O53_4854_gabD-1	52	62	65	63	49	39	40	31	18	62	60	58	58	61	60	51	65	36
O53_345_urtE	14	23	22	24	23	23	20	19	12	23	25	26	19	23	21	14	25	19
O53_1657	12	3	0	0	0	0	0	0	0	0	0	4	21	10	17	20	8	0
O53_784	50	41	44	55	39	31	28	32	15	30	28	33	31	42	39	32	34	32
O53_2210	83	90	100	102	70	54	54	39	23	94	92	93	117	109	113	113	104	56
O53_1879_queD	19	25	23	21	12	14	12	13	7	21	24	24	29	27	30	24	25	13
O53_4200	28	20	10	21	5	8	6	4	4	17	13	16	39	22	29	30	22	5
O53_4974	6	5	4	6	7	5	7	6	0	6	13	15	23	12	13	4	7	7
O53_3528	3	3	4	1	3	2	3	0	0	3	2	4	3	4	5	6	6	2
O53_3428_vat	66	71	69	67	27	29	20	10	15	65	81	74	92	84	91	84	76	15
O53_1202_urtC	24	38	40	36	37	37	34	35	37	41	40	43	46	40	41	37	37	33
O53_3890_glgB	31	35	42	42	16	17	14	14	8	42	129	45	63	53	54	48	48	13
O53_582	9	9	8	10	10	8	10	8	9	9	8	10	9	10	8	3	8	8
O53_1950	3	2	3	4	2	2	0	0	0	1	0	1	4	2	3	0	3	2
O53_4849	13	3	6	6	10	5	10	4	10	11	8	9	51	28	44	51	15	9
O53_1418	43	42	42	52	47	46	51	46	50	51	48	53	64	56	59	54	56	49
O53_531	37	34	33	30	22	21	21	13	16	29	27	37	39	35	41	44	39	19
O53_1393	9	5	4	4	0	0	0	0	0	6	6	6	7	6	6	11	12	0
O53_454	18	16	14	14	2	0	0	0	0	10	10	14	31	15	23	22	17	0
O53_2317_ubiD	44	41	42	41	24	25	22	13	12	44	52	40	60	44	52	56	48	16
O53_4589_mtfB	21	23	29	22	10	9	10	7	3	27	26	29	36	31	31	35	33	8
O53_832	7	9	11	10	9	9	10	10	0	9	8	12	13	9	12	7	9	10
O53_2928_lpxD	46	49	48	45	17	12	18	11	4	41	42	46	58	56	60	58	52	11
O53_997_ole1	26	27	28	37	24	24	20	14	15	28	42	31	33	33	30	37	32	19
O53_1434_tRNA-Leu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_3951	33	24	27	21	19	7	17	4	3	39	29	36	43	38	40	42	38	9
O53_2130_thrS	28	31	34	19	25	22	23	17	17	45	63	46	58	50	53	49	47	17
O53_4783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
O53_1223_rpsC	18	25	21	34	13	9	10	8	9	32	25	32	38	34	33	35	28	10
O53_796_aerF	14	14	15	15	13	11	10	6	7	12	10	12	24	18	14	18	14	11
O53_1945	2	4	2	3	3	2	6	0	0	4	5	2	4	3	3	1	4	4
O53_425	16	16	16	10	5	1	0	0	1	8	8	7	17	12	10	17	18	0
O53_1682	88	72	60	74	71	68	68	63	54	63	73	80	76	71	73	11	83	76
O53_1929	10	11	11	8	1	0	0	0	1	8	7	7	15	12	11	16	8	0
O53_5023	16	5	11	21	7	8	16	8	10	13	7	11	15	14	12	22	17	8
O53_1399	72	68	78	65	33	33	25	15	17	59	53	58	83	73	77	92	76	27
O53_5139	4	5	4	10	0	0	0	0	0	2	2	7	9	10	9	12	4	0
O53_799	26	27	29	33	11	10	12	6	3	35	30	35	42	38	40	40	39	7
O53_3429	8	8	4	8	4	9	3	2	6	6	4	5	10	8	7	11	7	4
O53_2706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
O53_5126	4	4	3	3	1	1	1	1	0	7	7	7	8	7	9	9	7	0
O53_1407	3	2	4	1	2	3	2	1	1	2	5	2	25	12	17	27	2	2
O53_2263_hggT	37	45	41	46	8	9	10	7	5	41	31	40	51	47	46	52	43	8
O53_1424_ilvC	39	35	36	33	17	11	21	8	5	33	61	36	47	39	39	39	38	12
O53_1955	5	0	1	1	1	1	1	1	0	2	4	7	9	7	9	8	1	1
O53_2324	10	10	10	7	6	6	1	4	4	9	12	11	12	11	12	8	9	3
O53_4114_clcD	18	20	22	28	11	5	5	2	3	24	21	25	33	26	28	27	28	4
O53_1752	53	52	47	48	23	18	21	15	21	60	52	60	96	74	77	80	64	17
O53_3132_era	24	24	25	30	19	17	16	16	15	26	24	28	37	28	31	34	30	17
O53_4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
O53_2057	0	0	0	0	0	0	0	1	1	1	1	0	7	0	0	5	0	0
O53_5154_ccsB	26	25	24	22	6	1	2	1	0	19	31	20	29	29	25	36	26	1
O53_1435	3	16	6	11	5	5	11	8	11	25	18	16	41	17	32	38	14	6
O53_2847	11	3	7	9	1	6	9	9	9	8	9	9	7	7	8	5	9	9
O53_985	4	4	3	4	3	3	3	3	0	4	4	3	3	4	4	0	4	3
O53_1965	37	39	41	28	27	30	21	11	0	36	39	35	44	38	43	46	35	21
O53_3888	36	33	33	30	19	17	18	12	8	33	28	36	42	35	35	39	42	17
O53_3597_cphB	23	29	28	24	20	19	20	15	7	30	30	34	34	34	37	34	34	22
O53_1217	2	2	2	1	2	2	2	2	0	2	0	3	18	3	13	4	9	2
O53_3663_trx	29	34	31	27	15	12	13	8	7	30	32	32	40	33	43	41	26	9
O53_4336_ruvB	34	37	34	44	17	11	11	4	0	43	38	41	59	44	48	46	43	8
O53_848	6	1	1	1	0	0	0	0	0	10	5	7	12	6	12	14	8	0
O53_1133	51	68	64	51	51	47	58	47	14	62	65	64	60	56	71	54	59	40
O53_274_hypB-1	22	26	27	23	12	10	10	10	4	18	17	24	27	27	25	29	24	9
O53_2690	5	5	5	8	5	4	5	3	3	5	5	5	6	5	6	7	9	4
O53_1062_cmpR	30	36	32	43	23	16	18	13	12	38	33	36	47	40	44	47	43	15
O53_1421	7	8	7	12	5	2	5	5	1	9	8	10	14	11	12	14	9	3
O53_4995	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
O53_4456_tRNA-Arg	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
O53_4407	4	2	2	2	3	2	2	2	3	2	2	2	50	20	43	59	39	2
O53_411	16	2	0	0	0	0	0	0	0	0	0	0	6	2	3	17	0	0
O53_1459	1	1	1	1	1	1	1	1	1	1	1	1	8	4	4	6	0	1
O53_4079	6	7	9	5	4	3	6	5	4	9	9	9	19	7	9	15	6	6
O53_720	19	24	18	25	4	1	4	1	2	22	22	25	31	26	23	31	29	1
O53_2944	14	15	15	14	8	8	6	5	1	14	16	14	22	19	18	18	15	5
O53_2931_bldG	9	10	10	11	3	2	2	1	0	11	7	11	19	12	15	18	23	1
O53_4984_cobJ	70	78	75	75	52	41	44	41	35	88	76	80	105	90	91	81	77	43
O53_2077	4	1	1	1	0	0	1	0	2	1	1	1	0	1	0	13	1	0
O53_1727	56	57	60	60	20	19	21	16	6	61	60	62	82	72	75	81	66	19
O53_3954_higA-1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
O53_4330	78	79	74	80	45	23	52	25	17	72	60	71	74	68	80	69	77	32
O53_4999	1	1	1	6	5	6	2	2	2	2	1	2	2	2	2	3	2	6
O53_4488	27	26	21	27	21	17	18	4	3	19	20	21	24	23	29	34	21	12
O53_4356	68	79	77	61	57	38	59	44	49	73	68	77	89	78	86	68	72	61
O53_4534	3	3	2	3	1	2	0	0	0	4	3	3	4	4	4	0	2	1
O53_2308_hypD	25	23	28	27	5	6	5	1	2	31	62	36	46	41	42	40	30	3
O53_958_glcF	43	53	54	44	32	35	27	30	16	45	39	34	48	49	44	50	46	30
O53_5399	8	8	8	6	9	6	7	7	2	9	7	8	8	11	9	11	9	5
O53_740	3	5	4	2	3	2	3	3	0	3	2	1	4	5	3	2	5	3
O53_2390_comE	89	98	94	89	37	26	28	15	15	79	74	87	130	95	103	118	95	21
O53_2583_bcp	12	13	12	5	7	6	3	2	4	7	7	6	14	7	10	11	10	4
O53_1531	20	14	16	7	5	6	4	1	1	6	6	7	18	7	6	7	6	4
O53_3458	1	1	0	1	0	0	1	0	0	1	1	1	3	2	2	1	1	0
O53_3637	12	15	18	10	8	11	9	11	5	16	15	21	23	22	21	16	22	10
O53_4642	101	90	99	95	104	112	101	98	91	101	96	101	91	97	104	106	108	100
O53_3336	8	5	5	9	5	5	4	4	5	4	7	4	7	8	7	7	6	4
O53_4293	8	7	3	2	2	0	2	0	0	4	4	9	11	6	4	2	4	0
O53_935	37	20	24	6	0	0	0	0	0	36	41	45	62	41	54	47	36	0
O53_2052_cobG	71	83	83	81	64	69	56	45	50	79	71	80	89	87	86	75	79	58
O53_2225_rplU	15	17	13	13	6	5	6	6	4	14	12	13	16	13	14	14	16	6
O53_3694_gvpA-1	8	10	9	10	6	3	7	3	1	11	10	10	10	11	12	9	11	3
O53_2797_mutL	9	8	2	1	0	4	0	0	0	0	0	3	14	10	13	14	8	0
O53_3504	99	123	104	125	121	128	121	120	101	120	117	120	134	117	119	112	122	119
O53_3703	1	3	2	4	2	0	2	4	0	3	2	2	2	2	1	1	2	4
O53_5185	11	11	11	10	7	6	0	0	5	10	10	3	18	12	12	13	10	4
O53_4756_bioF	26	35	37	27	22	21	17	18	20	26	21	26	36	33	27	42	29	20
O53_1559	1	1	3	1	3	3	3	4	1	1	1	3	2	2	2	2	2	2
O53_176	68	73	65	69	51	24	41	13	19	72	62	74	93	78	83	81	79	28
O53_3084	7	9	9	9	9	10	9	9	9	9	9	9	6	7	8	8	9	9
O53_5074_bcsA	92	106	102	135	55	30	54	32	31	119	101	125	151	136	146	143	131	45
O53_1130	25	26	27	22	8	3	5	3	6	21	22	21	28	24	24	29	23	6
O53_5361	66	76	73	71	45	38	42	30	31	73	69	71	82	80	79	84	84	42
O53_4346	8	9	9	10	1	1	1	1	1	12	10	11	13	14	14	12	12	1
O53_4430	17	20	19	11	10	11	10	10	9	11	13	18	24	16	20	21	13	10
O53_2163_cbiO	29	33	33	36	30	37	29	26	18	32	33	34	33	33	36	41	36	29
O53_3383	3	0	0	0	0	0	0	0	0	7	4	5	8	6	6	6	4	0
O53_532	27	28	27	25	12	8	18	9	0	31	29	32	35	32	35	40	37	11
O53_536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
O53_1603	29	30	27	30	18	12	15	12	8	22	21	21	24	28	26	29	28	13
O53_3013	8	8	9	9	5	7	7	5	3	13	10	9	12	9	14	13	14	7
O53_4385	9	9	12	11	10	9	11	8	10	15	16	16	16	15	15	16	13	9
O53_3079	36	48	47	46	46	44	38	36	26	41	39	38	40	50	44	42	41	43
O53_1168	19	24	24	22	15	19	12	13	10	21	19	23	27	26	31	23	30	15
O53_2281	29	27	28	22	9	9	9	9	8	28	22	32	46	31	44	29	30	9
O53_5207	126	119	127	102	106	82	100	102	84	121	118	115	128	124	126	141	136	96
O53_5383_fabI	17	17	16	11	4	1	1	0	0	16	16	15	21	19	17	18	17	0
O53_1185_spkA	106	107	99	99	28	10	16	9	12	96	81	84	154	119	123	119	100	11
O53_3682_hisZ	39	46	41	41	34	30	35	32	26	42	40	46	48	49	47	40	49	34
O53_445_rplN	5	5	5	2	0	0	0	0	0	5	5	5	6	7	6	6	6	0
O53_2217_lcfA	82	103	94	85	83	87	78	73	55	95	91	101	118	101	105	110	101	75
O53_4058	24	23	24	25	9	8	7	3	0	20	15	22	31	29	28	31	27	4
O53_1546	14	12	10	11	6	8	1	5	10	8	14	5	19	15	16	17	20	10
O53_2169	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0
O53_220	5	8	8	8	7	6	6	5	5	9	7	7	8	7	11	7	10	5
O53_1786	26	26	27	20	10	4	7	2	5	22	22	25	42	31	36	22	28	2
O53_3082	18	11	5	14	4	2	5	0	0	17	14	14	25	17	23	22	22	4
O53_1022	0	3	2	3	3	3	3	3	2	2	1	1	0	3	3	0	2	3
O53_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_4474	24	27	26	28	10	6	9	8	12	24	25	28	29	29	28	32	28	8
O53_660	2	2	4	1	5	8	8	0	0	8	7	5	8	8	6	6	8	8
O53_1107	63	55	47	48	16	9	9	9	8	42	32	52	73	54	70	64	55	9
O53_1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_4384_apcD	7	6	6	5	0	0	0	0	0	6	7	6	11	8	11	11	7	0
O53_5200	30	29	31	29	11	12	11	11	8	28	22	32	34	30	35	33	28	10
O53_2362	0	0	2	2	3	2	2	3	2	2	2	2	0	0	0	0	0	3
O53_3120	3	1	0	0	1	2	1	1	0	0	1	0	6	5	6	4	3	0
O53_1998	6	7	8	10	3	2	2	1	0	8	7	8	14	7	13	8	10	2
O53_5238	14	24	25	24	26	25	15	13	27	15	14	13	14	13	17	7	15	12
O53_4960_pepP	32	40	39	35	12	8	7	7	6	34	32	35	49	44	45	49	41	8
O53_966_trkA	36	35	35	37	13	10	13	2	4	36	36	40	44	43	41	50	42	9
O53_3159_spoIVCA	8	4	6	9	5	6	4	0	0	12	8	12	14	9	12	11	9	3
O53_4528	20	25	22	23	16	16	15	14	2	17	18	20	24	23	22	26	24	17
O53_5079_cry	74	77	71	56	15	6	16	8	2	68	65	69	94	68	77	89	79	9
O53_4898_cobK	40	48	46	39	26	23	28	20	17	33	41	36	47	37	41	42	40	26
O53_4725	4	4	4	2	2	4	2	0	2	2	3	2	3	2	3	4	2	2
O53_4232	27	21	24	24	11	10	10	8	10	19	13	22	26	23	23	20	24	8
O53_5363	5	2	2	0	0	0	0	0	0	0	0	0	7	3	4	6	3	0
O53_4728	154	153	154	129	53	8	21	7	7	121	91	137	180	147	174	146	147	8
O53_2808	5	2	2	6	0	0	0	0	0	4	3	3	6	5	4	6	5	0
O53_3973	3	2	2	1	1	2	1	1	1	4	4	4	5	4	4	5	2	1
O53_1293	37	35	34	35	37	36	35	35	32	37	34	35	36	44	42	39	40	36
O53_340	9	12	11	8	8	9	8	8	7	8	9	8	9	8	10	12	9	8
O53_1853	11	14	12	15	4	3	3	2	1	14	10	15	21	19	16	20	22	2
O53_4705	18	17	19	8	8	13	3	0	0	14	6	12	20	17	17	17	20	4
O53_5397	47	55	58	26	28	28	24	24	15	34	29	29	77	59	64	65	51	27
O53_4167	7	2	2	2	2	2	2	2	0	2	2	2	2	2	2	3	4	0
O53_2792	4	8	4	2	0	0	0	0	0	7	7	7	9	9	9	8	7	0
O53_3244	35	39	41	44	39	38	35	33	30	42	41	43	46	47	42	41	46	35
O53_1463	36	26	29	36	28	25	30	29	17	31	32	31	29	39	35	39	37	27
O53_1700	30	36	36	32	21	16	19	19	20	40	36	39	52	40	49	45	41	17
O53_3317	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O53_1785_relE-1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	4	4	0
O53_1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_1563_ndhA	24	30	31	34	21	22	23	21	17	30	33	30	32	26	31	28	33	23
O53_3618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O53_5039	1	2	2	3	0	0	0	0	0	3	2	3	3	3	3	3	3	0
O53_779	0	0	5	0	5	0	0	0	0	8	0	6	5	20	0	0	0	4
O53_708	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0
O53_585_prfC	38	46	44	34	24	21	25	18	15	34	36	37	39	39	43	47	38	26
O53_726	4	1	1	1	0	0	0	0	0	1	0	1	0	2	2	6	3	1
O53_2382_folD	29	28	25	28	11	10	17	13	9	30	30	27	36	31	34	35	38	12
O53_4749	5	4	4	2	2	2	5	2	2	12	7	20	50	30	49	47	57	5
O53_1972	0	1	1	1	1	1	1	1	0	1	2	1	1	1	1	0	1	1
O53_3854	25	14	13	9	5	3	0	0	3	12	5	15	39	25	23	37	22	2
O53_4156	8	8	7	10	1	2	3	2	0	9	7	12	13	9	14	13	16	1
O53_1352	5	6	6	6	6	6	6	6	0	0	6	6	6	6	6	1	6	6
O53_2246_argH	30	34	38	35	30	26	25	24	26	39	41	37	41	38	44	39	39	25
O53_2051	3	5	4	3	2	2	2	2	0	3	3	6	6	5	5	6	5	2
O53_2374	17	21	16	23	5	5	5	5	4	17	15	22	28	24	26	20	21	5
O53_1526	4	5	4	4	4	3	4	3	3	6	10	8	12	10	11	5	5	3
O53_523_tauC	37	34	38	20	16	12	15	12	6	18	21	22	36	31	34	33	32	14
O53_4379_ansA	24	34	29	35	24	20	23	16	15	31	31	33	41	36	38	33	32	25
O53_4964	14	14	13	15	8	9	8	7	4	12	10	12	9	11	16	14	13	9
O53_3962	32	25	25	17	12	10	8	6	7	22	22	24	35	25	33	40	30	9
O53_3301	3	3	3	0	0	1	0	0	0	0	0	0	3	2	1	3	3	0
O53_781	26	25	24	20	14	14	4	0	7	17	17	19	35	24	29	30	26	6
O53_4674	2	0	0	2	1	0	2	2	1	2	2	2	23	3	11	26	11	1
O53_3119_recJ	88	86	91	106	38	32	40	26	19	93	91	88	115	102	111	114	101	29
O53_1948	93	83	77	67	13	7	9	3	1	67	61	71	108	82	90	98	75	4
O53_689	12	14	16	14	16	13	14	17	6	14	13	13	14	15	18	14	15	17
O53_5005	51	39	46	43	42	36	39	31	13	41	41	37	41	53	49	54	43	38
O53_3843	60	61	55	70	33	25	34	28	22	63	65	64	82	73	77	78	69	29
O53_2360	4	2	0	0	0	0	0	0	0	2	0	3	4	3	3	3	3	0
O53_1834_ispG	33	34	38	40	23	18	20	15	12	40	55	43	62	45	52	52	45	17
O53_2247	5	0	3	2	0	0	1	0	0	1	0	1	0	4	1	1	3	0
O53_2819_fabF	29	40	40	49	31	23	33	25	26	44	41	42	44	45	44	35	43	30
O53_3911_cpcS	7	10	11	16	8	7	9	7	4	11	10	12	9	10	9	10	16	10
O53_476	65	68	69	72	29	24	29	23	17	73	72	78	98	80	94	92	79	23
O53_2735	27	27	23	23	21	18	30	29	18	29	33	36	37	36	32	42	31	30
O53_557	74	83	90	73	58	48	60	59	48	70	73	77	84	73	77	77	72	55
O53_4660	71	78	78	63	39	26	39	22	19	79	76	80	103	83	90	101	79	26
O53_300_tRNA-Leu	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
O53_1631	66	69	73	57	57	53	54	43	28	58	57	66	80	77	78	72	74	53
O53_1828	5	5	5	4	5	4	5	4	5	5	6	5	19	13	6	11	4	4
O53_4758_cefD	37	38	33	40	6	5	6	5	5	30	30	38	46	43	49	54	36	5
O53_2871	91	116	106	108	96	98	96	105	99	96	106	107	102	97	95	119	104	95
O53_508	20	16	21	15	4	1	4	1	0	14	13	13	21	15	21	18	17	4
O53_2640	2	2	1	2	0	1	1	1	0	5	3	4	9	3	3	11	6	2
O53_5299	7	9	9	11	6	5	5	5	5	9	10	9	10	8	10	7	9	5
O53_255	59	57	43	58	25	9	23	18	8	50	55	48	67	55	63	59	55	13
O53_2319_sphR	23	25	30	25	12	8	14	7	6	28	26	26	28	31	27	30	31	7
O53_4467_sufC	20	25	24	21	17	14	13	9	4	24	19	21	29	28	28	25	24	10
O53_3230	4	0	0	0	0	0	0	0	0	0	0	1	4	1	2	5	1	0
O53_2698	37	38	36	43	11	5	3	3	2	38	29	41	42	45	42	46	45	3
O53_240	7	6	7	2	2	3	2	0	0	3	2	2	2	3	3	5	3	2
O53_959	3	0	3	2	2	0	3	0	0	4	2	2	8	5	5	6	2	0
O53_2191_rpsM	3	3	3	2	0	2	2	1	0	3	3	2	2	2	2	2	2	0
O53_4943	15	18	16	15	7	3	7	5	2	17	19	20	31	24	25	24	22	5
O53_4825	4	3	3	4	0	2	1	1	2	3	2	5	8	7	8	4	3	4
O53_3902_map	36	30	34	32	13	6	22	6	8	36	33	34	43	39	38	33	34	9
O53_1861	3	3	3	3	3	3	3	3	1	6	6	7	11	8	11	5	3	3
O53_2980_smc	95	123	121	108	88	82	90	86	63	108	106	107	119	115	114	132	129	84
O53_4891_trpG	17	13	14	16	2	0	1	0	0	18	26	19	27	25	24	31	21	0
O53_2910_ykqC	43	58	58	58	28	23	36	26	19	55	64	59	67	62	62	66	64	28
O53_5151_sppA	19	24	24	22	19	14	16	10	6	20	20	16	22	22	19	21	25	13
O53_2258_gpmI	47	59	56	55	43	34	41	34	27	49	49	57	62	56	55	58	61	33
O53_4659	3	3	3	4	5	5	3	3	3	3	2	4	0	2	0	0	3	3
O53_1728	17	18	16	9	6	16	3	2	8	11	10	14	19	18	20	22	16	4
O53_563	0	0	0	1	0	0	2	2	1	2	6	1	5	0	2	0	1	2
O53_3487	11	13	15	7	6	3	3	3	0	9	5	6	18	14	15	15	12	4
O53_4248	5	0	0	0	0	1	0	0	0	3	6	3	6	3	4	12	13	0
O53_875	24	30	36	33	26	29	25	23	25	30	27	30	29	27	32	34	35	23
O53_4934	4	3	3	4	2	3	0	0	1	3	3	4	4	5	4	4	5	3
O53_520	20	19	24	20	19	1	9	0	0	28	29	30	40	32	36	29	31	6
O53_576	1	1	1	5	1	0	0	0	0	2	3	4	6	5	6	5	3	0
O53_3889	8	2	7	10	1	0	0	0	3	8	7	7	9	3	8	9	9	0
O53_2712_hisD	50	56	57	50	41	34	40	30	22	53	50	51	53	56	58	44	57	36
O53_2099	76	73	75	70	42	28	41	23	17	76	85	76	96	89	88	77	84	30
O53_4012	140	135	143	152	142	135	140	129	103	144	146	142	150	147	151	140	154	142
O53_4144	11	12	13	14	10	10	10	10	2	13	11	14	16	16	15	14	14	10
O53_1845_im30	19	19	21	15	8	4	9	2	3	20	18	19	26	24	26	24	23	4
O53_2470	81	70	76	78	74	78	81	85	54	85	76	86	84	82	81	47	78	84
O53_4169_tilS	33	49	51	40	41	34	38	34	27	43	41	46	41	46	39	38	43	38
O53_2139	33	37	36	42	27	12	19	12	8	45	44	47	50	48	42	47	45	12
O53_117	17	20	21	21	16	14	15	11	6	18	19	18	27	23	23	24	25	13
O53_4865_dehH-1	43	44	45	35	25	16	22	17	12	37	41	40	42	42	43	40	40	20
O53_4401	8	9	8	5	0	0	0	0	0	5	5	4	7	7	7	8	9	0
O53_2584	2	3	0	3	0	0	0	0	0	1	1	1	9	3	6	7	1	0
O53_2544	45	50	41	38	22	10	19	10	6	41	34	44	53	48	46	51	42	8
O53_5226	13	20	17	24	13	6	8	6	3	25	24	31	35	26	25	25	21	6
O53_3641	217	259	247	250	241	242	219	215	218	250	229	257	271	251	256	227	265	218
O53_5229	4	5	5	7	5	0	0	0	0	6	6	3	10	6	6	5	6	0
O53_2211	3	5	4	5	4	3	4	4	4	4	5	5	4	3	4	3	4	4
O53_4338	11	13	11	12	12	12	11	12	3	11	9	9	13	13	14	11	13	12
O53_2946	2	3	2	3	2	2	3	2	3	2	2	2	2	2	3	1	3	2
O53_1222_lepB-1	20	19	20	15	9	8	6	3	6	19	16	21	23	22	23	20	22	5
